Fecha,Estacion_mm,IMERG_v6B_mm,CR2MET_v2_mm,RFMEP_v2_mm,ERA5_mm,CHIRPS_v2_mm,TMPA-3B42v7_mm
1979-08-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-24,-9999,-9999,23.36,-9999,-9999,-9999,-9999
1979-08-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-26,-9999,-9999,1.73,-9999,-9999,-9999,-9999
1979-08-27,-9999,-9999,0.46,-9999,-9999,-9999,-9999
1979-08-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-30,-9999,-9999,24.73,-9999,-9999,-9999,-9999
1979-08-31,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-07,-9999,-9999,4.68,-9999,-9999,-9999,-9999
1979-09-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-11,-9999,-9999,2.71,-9999,-9999,-9999,-9999
1979-09-12,-9999,-9999,1.59,-9999,-9999,-9999,-9999
1979-09-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-14,-9999,-9999,5.87,-9999,-9999,-9999,-9999
1979-09-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-22,-9999,-9999,0.81,-9999,-9999,-9999,-9999
1979-09-23,-9999,-9999,4.36,-9999,-9999,-9999,-9999
1979-09-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-26,-9999,-9999,2.66,-9999,-9999,-9999,-9999
1979-09-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-09-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-10-31,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-18,-9999,-9999,1.07,-9999,-9999,-9999,-9999
1979-11-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-22,-9999,-9999,0,-9999,-9999,-9999,-9999
